,mutual_information
mean_os_net_bytes_sent,0.6568434552491625
mean_os_net_num_connections,0.5305874027244148
mean_process_cpu_system,0.41062896682613514
mean_process_disk_write_bytes,0.39331806934633984
mean_process_disk_read_count,0.3819960337063981
mean_process_cpu_user,0.3646227943356857
mean_process_disk_write_count,0.35362942234019945
mean_process_disk_read_chars,0.3286925005680361
mean_os_net_packets_sent,0.2875227485566727
mean_process_disk_write_chars,0.2708075507968286
mean_os_net_bytes_recv,0.26923834687008696
mean_process_net_rx_bytes,0.23757241084351954
mean_container_mem_cache,0.23453912808071298
mean_os_net_packets_recv,0.2249879297827353
mean_os_cpu_system,0.207535837672572
mean_os_cpu_ctx_switches,0.19247871479588152
mean_os_cpu_interrupts,0.18700378633562664
mean_process_net_tx_bytes,0.18224540816178014
mean_container_mem_pgfault,0.18188433304792406
mean_os_cpu_soft_interrupts,0.1779966876849466
mean_process_mem_resident,0.16188695253651386
mean_os_mem_pgreuse,0.15474514893744162
mean_os_mem_nr_inactive_file,0.15375549181955028
mean_container_mem_inactive_file,0.15251061076561
mean_os_mem_pgfree,0.15110791524045264
mean_container_net_tx_bytes,0.14970087415686528
mean_process_mem_data,0.14622419972350453
mean_process_net_tx_packets,0.1377319743208738
mean_container_mem_pgpgout,0.12908707067044656
mean_container_net_rx_bytes,0.1265623244102274
mean_os_mem_pgfault,0.1265454840182143
mean_os_cpu_softirq,0.1241286600274154
mean_os_cpu_user,0.11927094954287498
mean_process_net_rx_packets,0.11917919557868895
mean_os_cpu_idle,0.10255105135338694
mean_container_mem_pgpgin,0.09999261347346655
mean_container_net_tx_packets,0.09081269311596674
mean_container_net_rx_packets,0.09067020780666168
mean_os_mem_nr_mapped,0.07060018213449792
mean_os_disk_write_sectors,0.06241435074097401
mean_os_mem_pgpgout,0.059473199317638725
mean_os_disk_write_io,0.057753565555246134
mean_container_cpu_user,0.05620193867642165
mean_container_cpu_system,0.049494021151350376
mean_os_mem_nr_active_file,0.028787289889939505
mean_container_mem_rss,0.026699059386915636
mean_container_mem_mapped_file,0.025210641861159955
mean_os_disk_time_in_queue,0.024619556460766745
mean_container_mem_active_file,0.02459125945498042
mean_container_mem_inactive_anon,0.024430193024714608
mean_os_disk_write_ticks,0.023301669829485006
mean_os_disk_io_ticks,0.0189810796988632
mean_os_mem_nr_inactive_anon,0.018955838298357675
mean_process_mem_shared,0.01371879783563057
mean_os_disk_read_io,0.013131442299983753
mean_os_disk_read_ticks,0.013116888006028393
mean_os_mem_pgmajfault,0.01098165871640222
mean_os_mem_pgpgin,0.010410854536419878
mean_process_disk_read_bytes,0.009620513790772334
mean_container_disk_8_0_total,0.008730476934222464
mean_process_mem_size,0.008666885146520142
mean_os_disk_read_sectors,0.008360694938887914
mean_container_mem_active_anon,0.007715431645674897
mean_os_disk_write_merge,0.006716782118205256
mean_container_disk_8_0_read,0.006294896986944742
mean_container_disk_8_0_sync,0.005197489404694222
mean_container_disk_8_0_write,0.005083577326158162
mean_process_cpu_children_system,0.004007822593114607
mean_container_net_rx_errs,0.003193523189528147
mean_os_disk_read_merge,0.0030916247990779855
mean_container_disk_8_0_async,0.0028464678512085673
mean_os_cpu_iowait,0.002777705104595851
mean_os_mem_nr_active_anon,0.0026301672338189253
mean_process_cpu_children_user,0.0024855815613449295
mean_container_net_tx_compressed,0.002343256130911797
mean_process_net_tx_compressed,0.002234298662590728
mean_os_net_dropout,0.0022278250755476403
mean_container_net_rx_drop,0.00175892948804246
mean_process_net_rx_errs,0.001512207222539974
mean_process_net_rx_frame,0.0014724897875808551
mean_container_net_tx_fifo,0.0014537381789012649
mean_os_net_errin,0.0012010812794975845
mean_container_net_tx_errs,0.001125512474663859
mean_os_disk_discard_ticks,0.0010340856556989575
mean_process_cpu_iowait,0.0009671560746176144
mean_process_net_rx_compressed,0.0009490356086454543
mean_container_net_rx_frame,0.0008884346780146934
mean_container_mem_pgmajfault,0.0007592589940612626
mean_container_disk_8_0_discard,0.0007591709074383779
mean_process_mem_dt,0.0007147172426538173
mean_container_cpu_nr_throttled,0.000636913085757751
mean_os_cpu_steal,0.000586261813223965
mean_os_cpu_guest,0.0005296064481121743
mean_container_net_tx_carrier,0.000485022131630819
mean_os_disk_discard_merges,0.0003748798126146369
mean_os_disk_discard_io,0.00025591132985569587
mean_os_cpu_nice,0.00024696547754698983
mean_process_mem_text,0.00022806328476199234
mean_container_net_tx_colls,0.00019793254165789698
mean_container_net_rx_compressed,0.0001470464941220051
mean_os_cpu_guest_nice,9.919488498866258e-05
mean_os_net_dropin,0.0
mean_os_cpu_irq,0.0
mean_os_cpu_syscalls,0.0
mean_os_disk_discard_sectors,0.0
mean_os_disk_in_flight,0.0
mean_os_net_errout,0.0
mean_container_cpu_throttled_time,0.0
mean_process_net_tx_errs,0.0
mean_container_cpu_nr_periods,0.0
mean_process_net_tx_colls,0.0
mean_process_net_tx_drop,0.0
mean_process_net_tx_fifo,0.0
mean_process_net_rx_multicast,0.0
mean_process_mem_lib,0.0
mean_process_net_rx_drop,0.0
mean_process_net_rx_fifo,0.0
mean_process_net_tx_carrier,0.0
mean_container_mem_unevictable,0.0
mean_container_net_rx_fifo,0.0
mean_container_net_rx_multicast,0.0
mean_container_net_tx_drop,0.0
