,mutual_information
mean_os_net_num_connections,0.5764129940719255
mean_os_net_bytes_sent,0.5448100296010153
mean_process_cpu_user,0.36135594041700503
mean_process_cpu_system,0.34669211118179577
mean_os_net_packets_sent,0.2876514202378402
mean_process_disk_write_bytes,0.27552354843996874
mean_os_cpu_system,0.271917558141233
mean_os_net_bytes_recv,0.27014132859836804
mean_os_disk_read_sectors,0.2573650508336194
mean_os_mem_pgpgin,0.24852045314680704
mean_os_disk_read_io,0.24791216887951606
mean_os_disk_read_ticks,0.23883330042044482
mean_container_disk_8_0_sync,0.2282372834043993
mean_container_disk_8_0_total,0.2245739260088515
mean_os_net_packets_recv,0.20011282057696467
mean_container_disk_8_0_read,0.1996207155266032
mean_process_disk_read_chars,0.19153995167838445
mean_process_disk_read_count,0.19110837883349086
mean_process_mem_resident,0.18628799762684944
mean_os_disk_io_ticks,0.18177527429447093
mean_container_mem_pgpgout,0.18125398976861273
mean_process_net_tx_bytes,0.17900713326592532
mean_process_disk_write_chars,0.15701676275459708
mean_process_net_rx_bytes,0.15586907241924775
mean_os_cpu_ctx_switches,0.14639549204047864
mean_process_mem_data,0.14426666407929045
mean_container_cpu_system,0.14234604701378673
mean_os_cpu_iowait,0.13038428510178424
mean_container_mem_rss,0.12696993046941718
mean_os_disk_time_in_queue,0.12540264014023306
mean_container_mem_inactive_anon,0.12505989833162445
mean_process_disk_write_count,0.12115902625466579
mean_container_mem_cache,0.11920011243339057
mean_os_disk_write_sectors,0.11863385808399007
mean_os_mem_pgpgout,0.11741779333993096
mean_container_mem_active_file,0.11197863101136973
mean_os_cpu_interrupts,0.1101072262077849
mean_os_cpu_softirq,0.1075252658018857
mean_os_mem_nr_active_file,0.1063543897657604
mean_os_mem_pgmajfault,0.10525096845021076
mean_os_mem_nr_inactive_file,0.10464887067174633
mean_os_mem_pgfault,0.10348121696440815
mean_container_mem_pgfault,0.10220510784034054
mean_os_mem_nr_mapped,0.09912101505466397
mean_container_disk_8_0_write,0.0964579490087778
mean_os_disk_write_merge,0.09484366543794387
mean_process_net_rx_packets,0.09307985337807922
mean_container_mem_mapped_file,0.08584665696659255
mean_os_cpu_soft_interrupts,0.08509041704865727
mean_os_mem_pgreuse,0.08346535489117435
mean_process_disk_read_bytes,0.08304563054475067
mean_container_mem_inactive_file,0.08228098319873989
mean_container_cpu_user,0.07911836991723331
mean_os_disk_write_io,0.07474050709642732
mean_process_mem_shared,0.07263750452361584
mean_os_cpu_user,0.06501422194078943
mean_process_net_tx_packets,0.061475423223507075
mean_os_disk_write_ticks,0.05781966259918314
mean_os_mem_nr_inactive_anon,0.057804986309778705
mean_os_cpu_idle,0.0497224894353987
mean_os_disk_in_flight,0.04352569143138285
mean_os_mem_pgfree,0.03121705713507006
mean_container_disk_8_0_async,0.028567375161877795
mean_container_net_rx_packets,0.027814841596649265
mean_container_mem_active_anon,0.026588171611069633
mean_container_net_tx_bytes,0.025845141498678448
mean_container_mem_pgpgin,0.022965396166592322
mean_os_disk_read_merge,0.019886597942791795
mean_container_net_tx_packets,0.01730574666425322
mean_process_cpu_children_system,0.01625283336230332
mean_process_mem_size,0.014484309695718345
mean_process_cpu_children_user,0.013336379676969434
mean_container_net_rx_bytes,0.011942211509160305
mean_container_mem_pgmajfault,0.008909177502210763
mean_process_net_tx_drop,0.008430254341903476
mean_container_net_tx_drop,0.008292563697805955
mean_os_mem_nr_active_anon,0.007136099402260232
mean_process_mem_lib,0.005130685990559325
mean_process_net_rx_drop,0.0045103553665797325
mean_process_cpu_iowait,0.0038908924539664547
mean_container_net_tx_fifo,0.0029994797415127117
mean_container_net_rx_compressed,0.002708161381450358
mean_process_net_rx_multicast,0.0025737303621302665
mean_process_net_tx_colls,0.001975071829397601
mean_os_cpu_guest_nice,0.0019196881159346812
mean_container_net_rx_drop,0.0018411104541173895
mean_process_net_rx_compressed,0.0018063586340284488
mean_os_cpu_nice,0.0012308121039701359
mean_container_net_tx_carrier,0.001033004038094365
mean_container_cpu_nr_throttled,0.0009877379333991243
mean_os_cpu_irq,0.0008141800619021478
mean_container_mem_unevictable,0.0006317989675892477
mean_os_disk_discard_ticks,0.0004765317134234337
mean_container_net_tx_errs,0.00020792107699585394
mean_container_net_tx_compressed,0.0001547466268527753
mean_process_net_rx_fifo,3.6433023471227344e-05
mean_os_net_errout,0.0
mean_os_net_errin,0.0
mean_os_cpu_guest,0.0
mean_os_disk_discard_sectors,0.0
mean_os_net_dropout,0.0
mean_os_net_dropin,0.0
mean_os_cpu_syscalls,0.0
mean_os_disk_discard_merges,0.0
mean_os_disk_discard_io,0.0
mean_os_cpu_steal,0.0
mean_container_disk_8_0_discard,0.0
mean_container_cpu_throttled_time,0.0
mean_container_cpu_nr_periods,0.0
mean_process_net_tx_fifo,0.0
mean_process_net_tx_carrier,0.0
mean_process_net_tx_compressed,0.0
mean_process_net_tx_errs,0.0
mean_process_net_rx_frame,0.0
mean_process_mem_dt,0.0
mean_process_mem_text,0.0
mean_process_net_rx_errs,0.0
mean_container_net_rx_errs,0.0
mean_container_net_rx_multicast,0.0
mean_container_net_rx_frame,0.0
mean_container_net_rx_fifo,0.0
mean_container_net_tx_colls,0.0
